user_id,ts,active_time_m7,active_time_m14,active_time_s7,active_time_s14,activity_percent_m7,activity_percent_m14,activity_percent_s7,activity_percent_s14,chronotype_score_m7,chronotype_score_m14,chronotype_score_s7,chronotype_score_s14,display_events_m7,display_events_m14,display_events_s7,display_events_s14,ec_Activity_m7,ec_Activity_m14,ec_Activity_s7,ec_Activity_s14,ec_DeviceDisplayStatus_m7,ec_DeviceDisplayStatus_m14,ec_DeviceDisplayStatus_s7,ec_DeviceDisplayStatus_s14,ec_Location_m7,ec_Location_m14,ec_Location_s7,ec_Location_s14,ec_PedometerData_m7,ec_PedometerData_m14,ec_PedometerData_s7,ec_PedometerData_s14,ec_total_m7,ec_total_m14,ec_total_s7,ec_total_s14,time_at_location_1_m7,time_at_location_1_m14,time_at_location_1_s7,time_at_location_1_s14,time_at_location_2_m7,time_at_location_2_m14,time_at_location_2_s7,time_at_location_2_s14,time_at_location_3_m7,time_at_location_3_m14,time_at_location_3_s7,time_at_location_3_s14,time_at_location_4_m7,time_at_location_4_m14,time_at_location_4_s7,time_at_location_4_s14,time_at_location_5_m7,time_at_location_5_m14,time_at_location_5_s7,time_at_location_5_s14,num_location_clusters_m7,num_location_clusters_m14,num_location_clusters_s7,num_location_clusters_s14,steps_least_active_5h_m7,steps_least_active_5h_m14,steps_least_active_5h_s7,steps_least_active_5h_s14,loc_entropy_m7,loc_entropy_m14,loc_entropy_s7,loc_entropy_s14,screen_unlocks_m7,screen_unlocks_m14,screen_unlocks_s7,screen_unlocks_s14,sleep_duration_m7,sleep_duration_m14,sleep_duration_s7,sleep_duration_s14,sleep_end_m7,sleep_end_m14,sleep_end_s7,sleep_end_s14,sleep_interruptions_m7,sleep_interruptions_m14,sleep_interruptions_s7,sleep_interruptions_s14,sleep_start_m7,sleep_start_m14,sleep_start_s7,sleep_start_s14,steps_most_active_10h_m7,steps_most_active_10h_m14,steps_most_active_10h_s7,steps_most_active_10h_s14,steps_relative_amplitude_m7,steps_relative_amplitude_m14,steps_relative_amplitude_s7,steps_relative_amplitude_s14,sleep_routine_index_m7,sleep_routine_index_m14,sleep_routine_index_s7,sleep_routine_index_s14,step_count_m7,step_count_m14,step_count_s7,step_count_s14,time_at_home_m7,time_at_home_m14,time_at_home_s7,time_at_home_s14,total_activity_duration_m7,total_activity_duration_m14,total_activity_duration_s7,total_activity_duration_s14,total_display_duration_m7,total_display_duration_m14,total_display_duration_s7,total_display_duration_s14,total_location_duration_m7,total_location_duration_m14,total_location_duration_s7,total_location_duration_s14,travel_diameter_m7,travel_diameter_m14,travel_diameter_s7,travel_diameter_s14,walking_rate_m7,walking_rate_m14,walking_rate_s7,walking_rate_s14,device_use_percent_m7,device_use_percent_m14,device_use_percent_s7,device_use_percent_s14,age_bucket,age_num,sex,gender,chronotype,housemates,occupation,school,phone_carry,full_time,ethnicity,phq_q1,phq_q2,phq_q3,phq_q4,phq_q5,phq_q6,phq_q7,phq_q8,phq_q9,phq2_total,phq8_total,phq9_total,deployment
us-east-1:db841a21-c400-c09b-cb33-144516a80231,2024-05-04 14:13:46.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-54,54,Female,Woman,,children,,,Frequently,,['White'],1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,8.0,8.0,hr-ascent-1
us-east-1:db841a21-c400-c09b-cb33-144516a80231,2024-05-18 14:39:27.530,8629.142857142857,8007.5,5451.281544388483,3927.552139398318,0.09987433861428571,0.09267939815000001,0.06309353637404122,0.04545777938009293,1.4257142857142857,,0.047908643220593246,,206.14285714285714,233.71428571428572,65.18544973491291,63.75726633873986,3324.0,3113.0714285714284,1374.1220227233582,1070.479365251181,206.14285714285714,233.71428571428572,65.18544973491294,63.75726633873987,346.0,342.92857142857144,70.83313725463051,59.60829096399547,150.14285714285714,136.21428571428572,92.37681630407161,66.2143123866371,4026.285714285714,3826.1428571428573,1438.8418623191033,1119.6383933521267,161.17142857142858,106.22142857142856,35.570011446241,65.57430522311698,3.6,3.2857142857142856,1.2166747166629525e-08,0.7989003431228192,2.0142857142857147,1.7142857142857142,0.26095064302514875,0.5475218897726556,1.557142857142857,1.3285714285714285,0.23704530408864094,0.4121772796869205,1.4142857142857144,1.1357142857142857,0.03779644730092102,0.4516757565012638,16.285714285714285,13.714285714285714,0.9511897312113443,3.851644432598216,8.085241849457143,,0.11406820743120212,,0.5289470114571428,0.6263904841928571,0.04738652275564826,0.12296691206684054,8.857142857142858,12.571428571428571,2.9680841985233295,5.543038401930366,32057.14285714286,,5605.609435454556,,53057.142857142855,,2816.532822968186,,0.0,,0.0,,21000.0,,3766.9616403674727,,45.71774270067142,,3.286341984721851,,0.6986363698857143,,0.015219485281278049,,0.9282407407428571,,0.020512032834396905,,6517.714285714285,6218.0,4924.718256384004,3490.731023284819,76685.56671328572,,3735.611998411101,,86399.999999,84529.68392764287,0.00028190931112774694,6998.081943995478,86399.999999,84461.21078478571,0.0006303683831717801,7254.2849847625575,86399.999999,84518.53392764286,0.0,6953.915275789952,3278.4285714285716,8275.285714285714,1535.3062514411617,12227.390170172308,1.7731570152142857,1.831043671757143,0.21223702364661484,0.1837908873034165,0.026954181542857142,0.046007717378571435,0.011763327000409345,0.0436810688949375,45-54,54,Female,Woman,,children,,,Frequently,,['White'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,7.0,hr-ascent-1
us-east-1:db841a21-c400-c09b-cb33-144516a80231,2024-06-01 14:39:35.855,8428.285714285714,7667.785714285715,3851.067372140083,3015.6798743228037,0.09754960315714287,0.08874751984285713,0.04457253904654719,0.03490370225348132,1.592857142857143,1.5471428571428572,0.013801311186846132,0.09059025006364309,213.14285714285714,221.71428571428572,51.950067601587655,63.43431317443335,3170.0,3215.5,1296.5468239391387,1781.2167729694472,213.14285714285714,221.71428571428572,51.950067601587676,63.434313174433356,350.57142857142856,374.64285714285717,97.83805861874873,158.56015948473367,150.57142857142858,137.28571428571428,74.38381800467344,56.233617883075766,3884.285714285714,3949.285714285714,1417.801315921441,1911.1730762734514,216.97142857142856,216.43571428571428,1.6710418763107775,3.1808579256010137,4.728571428571429,4.0,1.1294752258081124,1.106623415898735,1.8571428571428572,2.0714285714285716,0.46136443605586197,0.6866065623255952,1.3714285714285717,1.5571428571428572,0.12535663410560158,0.2622807823520601,1.1428571428571428,1.2,0.05345224838248087,0.2745625891934577,16.142857142857142,14.571428571428571,0.6900655593423873,1.9499225118444585,10.095473234914285,9.267958830485714,0.5162787355540562,0.9377681891989509,0.3439659573714286,0.3368722215428571,0.039176005836519895,0.058464219355665877,10.142857142857142,10.142857142857142,4.180453381654977,3.08487982204875,30042.85714285714,30042.85714285714,4296.842694683753,6041.231953540894,52328.57142857143,52007.142857142855,2303.4136158567535,2110.2184668943587,0.0,0.0,0.0,0.0,22285.714285714286,21964.285714285714,2953.206489805373,5573.095693095141,37.967948863028575,38.712833869121425,2.7448336271937674,2.1281405243776366,0.5794505143857143,0.6134878317214286,0.008722430343999986,0.036043812945857144,0.9076554232857144,0.914641203707143,0.02439233740829169,0.025046522980194323,7384.428571428572,6607.642857142857,3894.1234724964247,2987.092169965322,71511.71514185714,72131.64742757143,8867.796744978707,11173.269020172915,86399.999999,86399.999999,0.00028190931112774694,0.00019151966322088286,86399.999999,86399.999999,0.0006303683831717801,0.0006771242629702504,86399.999999,86380.43657042857,0.0,73.19964702503742,5241.0,22929.0,3545.683243983685,66880.71541069334,1.9072708281142856,1.9208792049928571,0.10635881082139621,0.07703488496961146,0.0364946594,0.041534007942857144,0.02460302799018992,0.0309857131528788,45-54,54,Female,Woman,,children,,,Frequently,,['White'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,7.0,hr-ascent-1
us-east-1:db841a21-c400-c09b-cb33-144516a80231,2024-06-17 23:17:52.098,7971.714285714285,7770.5,2552.8700655200996,2893.256130808597,0.09226521162857142,0.08993634258571429,0.02954710724816785,0.03348676077781383,1.5400000000000003,1.5392857142857144,0.014142135623728864,0.029733246275271536,376.14285714285717,304.35714285714283,136.6411706763723,129.28597231472037,3860.5714285714284,4062.9285714285716,1111.9728499597556,1507.6554117766223,376.14285714285717,304.35714285714283,136.6411706763723,129.28597231472037,445.14285714285717,460.35714285714283,88.94835312589831,128.48741760778168,142.0,137.21428571428572,43.871023086619125,47.62865745524441,4824.0,4964.928571428572,1190.1742169391284,1642.128424860937,120.85714285714286,155.72857142857143,5.439318934956806,40.85856333502431,54.25714285714286,34.614285714285714,1.436264997434976,22.262692391700348,6.4,5.45,4.0352535270829797e-08,1.6630602005848223,3.871428571428571,3.492857142857143,0.18898223650461024,1.1097222699772753,2.3857142857142857,2.292857142857143,0.9973775136636609,1.0072539101738145,43.714285714285715,36.357142857142854,1.8898223650463155,10.172414756488362,11.282538070557141,11.104642585285715,0.4149201610573326,0.6059897663088782,1.4270340448999999,1.1160907717857143,0.057404409159119006,0.40554690470495836,22.571428571428573,19.285714285714285,10.35788174704241,11.776303268909082,32528.571428571428,,3722.3264614638883,,53485.71428571428,,3449.8447170022837,,0.0,,0.0,,20957.14285714286,,2629.231283637319,,38.51181409311429,41.73724593518572,1.2025784213867696,4.129300835961827,0.5468028661857143,0.5775875213642857,0.011268956456071524,0.036411587517834784,0.9166997354428571,0.9250165343928572,0.010720390793705743,0.013616289772822865,6061.857142857143,5907.571428571428,1608.3524104469413,2002.667786662647,53984.69499928572,40920.50999942858,33201.69038784609,35965.27770601336,84857.14285614286,86399.999999,4082.0163084996634,4236.108518984777,84857.14285614286,86399.999999,4082.0163084997025,4236.108518984829,84857.14285614286,86399.999999,4082.016308499634,4236.108518984777,525151.2857142857,538490.3571428572,1375439.8860684189,1317672.1777953496,1.7766061884714286,1.7950962350785713,0.24754254100084444,0.20353435091826866,0.04771873771428571,0.04500088002142858,0.016096143509497497,0.019573096299700193,45-54,54,Female,Woman,,children,,,Frequently,,['White'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,7.0,hr-ascent-1
us-east-1:db841a21-c400-c09b-cb33-144516a80231,2024-07-09 12:28:52.414,6232.285714285715,7557.928571428572,1889.419815206582,2930.1783737850837,0.0721329365,0.08747602513571429,0.02186828491338536,0.0339141015579764,1.5314285714285716,1.5621428571428573,0.047409060817727666,0.04543441112511205,230.42857142857142,247.42857142857142,58.80719100829171,52.70777826952926,2486.4285714285716,2994.3571428571427,757.2623625364529,1106.528709846375,230.42857142857142,247.42857142857142,58.80719100829171,52.70777826952926,352.7142857142857,366.85714285714283,65.01977721102577,64.48715691200385,98.14285714285714,123.28571428571429,31.64610861506029,49.761629597710915,3167.714285714286,3732.0,852.538310827473,1200.1297365765847,206.42857142857142,204.20714285714286,2.3872678146876845,4.406544832704766,6.8,5.678571428571429,1.0801234497343386,1.4348296985134221,2.8,2.7357142857142853,6.272441983402795e-08,0.3152706843263384,2.1285714285714286,1.9714285714285715,0.28702082220800296,0.32682286764114743,1.7714285714285711,1.6785714285714286,0.04879500364744535,0.12513728724621787,18.0,18.928571428571427,1.2909944487359055,2.3026501693044015,10.167975583914286,10.178111968778571,0.27628683114580177,0.5605536973721768,0.46625163222857147,0.47213838779285716,0.03556871306169039,0.05527592618025129,9.714285714285714,9.0,3.1471831698778034,3.038218101251024,,,,,,,,,,,,,,,,,36.433098239128576,36.506961636728576,0.5284576091707912,0.7920613363124778,0.5635814316,0.5641552704642857,0.012591820363478261,0.017866986177450115,0.9353174603285714,0.9324818121714286,0.007820120475888207,0.009945377557081555,4894.428571428572,5883.642857142857,1650.1750267919003,2301.996377967573,70165.32857042857,72102.28642757142,6503.8723475893175,5930.6286718501815,86399.999999,86399.999999,0.00028190931112774694,0.0001773772170071402,86399.999999,86399.99999899999,0.0006303683831717801,0.0006855360670238876,86399.999999,86399.999999,0.0,0.00017263349150062216,6985.142857142857,6170.642857142857,3129.405504238387,2913.571364062817,1.7843059324000001,1.8186439152357143,0.21274413089072633,0.17470655392450823,0.03300719908571428,0.027575024807142856,0.01685002749636934,0.01350977304480754,45-54,54,Female,Woman,,children,,,Frequently,,['White'],1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,9.0,9.0,hr-ascent-1
us-east-1:db841a21-c400-c09b-cb33-144516a80231,2024-07-16 14:19:11.857,8760.857142857143,7461.0,4342.640073679126,3493.985777787971,0.10139880952857143,0.08635416666428572,0.05026203787665844,0.040439650205350584,1.4642857142857142,1.4907142857142859,0.02225394561056714,0.04028060913799188,268.2857142857143,248.21428571428572,75.31868799909326,67.31119300158535,3527.1428571428573,3010.9285714285716,1361.4096161174807,1185.8348869555477,268.2857142857143,248.21428571428572,75.31868799909326,67.31119300158535,395.7142857142857,375.64285714285717,84.1797962413671,74.81115418979171,145.57142857142858,122.42857142857143,65.54860065340107,54.97651846395497,4336.857142857143,3757.285714285714,1437.5051801148904,1284.5974783248948,204.0,205.59285714285716,4.6328536921998,3.806363959661051,10.485714285714286,8.828571428571427,1.8515116089548576,2.2458264099738714,2.642857142857143,2.7214285714285715,0.4157609203101546,0.2939873661036554,1.7714285714285716,1.9214285714285715,0.4923220007078283,0.4022600984601665,1.2285714285714289,1.4642857142857142,0.1889822365046177,0.30282552188232015,17.857142857142858,18.0,0.6900655593425405,1.037749043325431,8.195124130871429,9.08438353635,0.5193964011052731,1.0428250646641333,0.43565611379999997,0.44577782349999995,0.031883863031210984,0.030891020081366904,11.571428571428571,10.571428571428571,4.577377082170652,3.7970491723946043,32400.0,33428.57142857143,2754.9954627911734,3643.4194782519216,52928.57142857143,53357.142857142855,1872.3552776421116,2786.703121201521,0.0,0.0,0.0,0.0,20528.571428571428,19928.571428571428,2141.4280949203694,2013.1982100545995,33.95018671878571,34.98946846050715,1.5950186900410082,1.6490760967937546,0.6112817160428571,0.5888943587285714,0.009352303162410331,0.02601149600206267,0.9428736772571428,0.9378472222357143,0.013080556994312844,0.012495712571783125,6743.714285714285,5764.5,2979.2121841344638,2534.670961804587,71294.14228485714,71882.59392764287,8197.026451880996,7208.446999658489,86399.999999,86399.999999,0.00028190931112774694,0.0001773772170071402,86399.999999,86399.999999,0.0006303683831717801,0.0006855360670238876,86399.999999,86399.999999,0.0,0.00017263349150062216,5949.714285714285,5946.928571428572,5624.9359319488385,4690.156836229667,1.8162805177714285,1.7999047997785715,0.21259219294663415,0.2050132228452354,0.041589591614285715,0.03660027448571428,0.02932804842403162,0.02363276152351861,55-64,55,Female,Woman,,children,,,Frequently,,['White'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,7.0,hr-ascent-1
us-east-1:db841a21-c400-ce85-5cd6-95d896fd3268,2024-05-15 02:00:23.165,,,,,,,,,,,,,,,,,951.0,,469.56398215081765,,0.0,,0.0,,0.42857142857142855,,0.7867957924694432,,0.0,,0.0,,951.5714285714286,,469.8240298746107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74056.98584922576,,32656.061234033314,,0.0,,0.0,,11115.462034714286,,21369.484399986195,,,,,,,,,,,,,,55-64,58,Female,Woman,,no one,,,Always,,['White'],3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,6.0,17.0,20.0,hr-ascent-1
us-east-1:db841a21-c400-ce85-5cd6-95d896fd3268,2024-05-24 02:11:45.905,,,,,,,,,,,,,,,,,1000.2857142857143,996.6428571428571,209.75200776608733,258.4693426673677,0.42857142857142855,0.21428571428571427,0.5345224838248488,0.42581531362632,36.0,19.357142857142858,53.86402633793109,40.691346921498116,19.714285714285715,9.857142857142858,42.17706440596313,30.42483080758757,1056.4285714285713,1026.2142857142858,247.73228637843255,272.80344532322124,141.55714285714288,83.85000000000001,50.42003097787151,69.35074454705422,0.6,,0.0,,0.4,,0.0,,0.2,,0.0,,0.1,,0.0,,5.0,3.142857142857143,1.2166747166629524e-08,1.95555000554213,,,,,0.06621001594285715,0.03855579904285714,0.023082711417489746,0.03529362409605126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84908.77886986914,,3881.183122826847,,86399.82979381167,86399.83347480139,0.03827676384874498,0.045452903491749026,18575.73233957143,9287.866169785715,32105.573211388262,23846.156599239297,86399.99366135802,54492.77934579865,0.00941670136065013,40687.963023120756,,,,,,,,,,,,,55-64,58,Female,Woman,,no one,,,Always,,['White'],1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,3.0,12.0,13.0,hr-ascent-1
us-east-1:db841a21-c400-ce85-5cd6-95d896fd3268,2024-06-10 10:35:31.404,,,,,,,,,3.7842857142857143,3.8492857142857138,0.09449111825230992,0.23551790020863028,,,,,214.71428571428572,583.5,328.3467244066422,481.9019609837671,4.0,3.357142857142857,6.506407098647711,6.617077473153407,13.142857142857142,17.571428571428573,21.043039794894774,34.75787522432707,3.857142857142857,18.785714285714285,6.362090102803426,23.60957619086128,235.71428571428572,623.2142857142857,356.0345087608375,501.5427243970393,286.1,304.7214285714286,44.76672871676018,38.024752638075164,,,,,,,,,,,,,,,,,2.2857142857142856,3.642857142857143,0.9511897312113478,2.0232168923292897,0.5790818093,0.6990186190642858,0.22523726770450472,0.21653165320526455,0.006259884257142857,0.0156928862,0.004525506014295283,0.01467261360114325,,,,,,,,,,,,,,,,,,,,,2.138736162242857,2.2713065614785712,0.23217690532669985,0.45441281542991896,0.5868987947,0.53622535075,0.11458219641340338,0.09729911745254487,0.7144179894285715,0.7267691798928572,0.1181090046903738,0.10131749059910065,,,,,,,,,26532.6597818464,56466.2499473251,41168.68202578164,41799.37408547041,936.7136136681714,699.3400149788285,1464.9741531447353,1319.3555391230736,26645.428879537012,56522.71257065077,41126.32900031812,41736.70101673561,,,,,,,,,,,,,55-64,58,Female,Woman,,no one,,,Always,,['White'],2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,10.0,12.0,hr-ascent-1
us-east-1:db841a21-c400-ce85-5cd6-95d896fd3268,2024-06-22 08:34:45.710,,,,,,,,,3.698571428571429,3.742142857142857,0.12005950905399483,0.11178128172935048,,,,,944.7142857142857,805.5714285714286,354.572378265103,469.13500013498066,0.0,0.0,0.0,4.6757730278535854e-08,109.85714285714286,55.42857142857143,86.71875723938194,81.61797905789204,136.14285714285714,68.07142857142857,169.6058455865919,135.154876565149,1190.7142857142858,929.2142857142857,321.7513088736467,512.6054380952618,330.3,317.91428571428565,4.956140971899502,37.092729064474824,1.3857142857142857,,1.0542431272854338,,,,,,,,,,,,,,4.0,2.857142857142857,2.081665999466134,1.8752289237539792,,,,,0.06881739864285714,0.036845795507142856,0.06433313726652114,0.05491924471649648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79831.79705235505,,9001.763819010144,,86399.84372344703,70489.26991321535,0.060458920286605294,32676.322225723008,0.0,0.0,0.0005063834010682635,0.0003193988760459538,86399.98245938557,74057.13404533565,0.013941912283724836,31374.9915603494,,,,,,,,,,,,,55-64,58,Female,Woman,,no one,,,Always,,['White'],1.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,3.0,9.0,12.0,hr-ascent-1
