feature,coefficient,p_value,abs_coefficient,bucket
ec_PedometerData_s14:C(sex)[Female]:C(age_binary)[old],-0.4096,0.045,0.4096,activity
time_at_home_m7:C(sex)[Female]:C(age_binary)[old],0.4005,0.005,0.4005,sociability
total_location_duration_s14:C(sex)[Female]:C(age_binary)[old],-0.3982,0.031,0.3982,sociability
total_location_duration_s7:C(sex)[Female]:C(age_binary)[old],-0.3939,0.041,0.3939,sociability
activity_percent_s14:C(sex)[Female]:C(age_binary)[young],0.3919,0.017,0.3919,activity
active_time_s14:C(sex)[Female]:C(age_binary)[young],0.3919,0.017,0.3919,activity
time_at_home_s14:C(sex)[Female]:C(age_binary)[young],-0.3835,0.012,0.3835,sociability
chronotype_score_m14:C(sex)[Male]:C(age_binary)[old],0.3761,0.048,0.3761,sleep
step_count_s14:C(sex)[Female]:C(age_binary)[young],0.376,0.029,0.376,activity
time_at_location_1_m7:C(sex)[Male]:C(age_binary)[old],-0.3759,0.045,0.3759,sociability
screen_unlocks_m14:C(sex)[Female]:C(age_binary)[young],-0.3754,0.02,0.3754,device_usage
time_at_location_1_m14:C(sex)[Female]:C(age_binary)[young],0.375,0.007,0.375,sociability
screen_unlocks_m7:C(sex)[Female]:C(age_binary)[young],-0.3727,0.016,0.3727,device_usage
travel_diameter_m14:C(sex)[Male]:C(age_binary)[young],-0.3696,0.025,0.3696,sociability
ec_DeviceDisplayStatus_s14:C(sex)[Female]:C(age_binary)[old],0.3682,0.04,0.3682,device_usage
steps_relative_amplitude_s7:C(sex)[Female]:C(age_binary)[young],0.3628,0.018,0.3628,activity
total_activity_duration_m7:C(sex)[Female]:C(age_binary)[young],0.3599,0.004,0.3599,activity
steps_relative_amplitude_m14:C(sex)[Female]:C(age_binary)[young],0.3538,0.012,0.3538,activity
chronotype_score_m7:C(sex)[Male]:C(age_binary)[old],0.3514,0.045,0.3514,sleep
steps_least_active_5h_m14:C(sex)[Female]:C(age_binary)[young],0.3489,0.027,0.3489,activity
time_at_location_3_m14:C(sex)[Female]:C(age_binary)[young],-0.3442,0.036,0.3442,sociability
time_at_location_3_m7:C(sex)[Female]:C(age_binary)[young],-0.3428,0.028,0.3428,sociability
total_activity_duration_m14:C(sex)[Female]:C(age_binary)[young],0.3389,0.007,0.3389,activity
total_display_duration_m7:C(sex)[Female]:C(age_binary)[old],0.3292,0.018,0.3292,device_usage
steps_least_active_5h_m7:C(sex)[Female]:C(age_binary)[young],0.3237,0.033,0.3237,activity
screen_unlocks_s7:C(sex)[Female]:C(age_binary)[young],-0.3211,0.048,0.3211,device_usage
ec_Location_m14:C(sex)[Female]:C(age_binary)[young],0.3168,0.041,0.3168,sociability
time_at_location_2_m14:C(sex)[Female]:C(age_binary)[young],-0.3132,0.046,0.3132,sociability
steps_most_active_10h_s7:C(sex)[Female]:C(age_binary)[young],0.3088,0.044,0.3088,activity
loc_entropy_s7:C(sex)[Female]:C(age_binary)[young],-0.3064,0.034,0.3064,sociability
steps_relative_amplitude_m7:C(sex)[Female]:C(age_binary)[young],0.3054,0.024,0.3054,activity
total_display_duration_m14:C(sex)[Female]:C(age_binary)[old],0.29,0.036,0.29,device_usage
