feature,coefficient,p_value,abs_coefficient
time_at_location_2_s7:C(sex)[Male]:C(age_binary)[young],-0.6816,0.029,0.6816
loc_entropy_m7:C(sex)[Male]:C(age_binary)[young],-0.6805,0.01,0.6805
time_at_location_2_s14:C(sex)[Female]:C(age_binary)[old],-0.6748,0.0,0.6748
time_at_location_4_m7:C(sex)[Female]:C(age_binary)[old],-0.6737,0.004,0.6737
time_at_location_4_s7:C(sex)[Female]:C(age_binary)[old],-0.6698,0.001,0.6698
time_at_location_1_s7:C(sex)[Male]:C(age_binary)[young],-0.646,0.017,0.646
travel_diameter_s7:C(sex)[Male]:C(age_binary)[young],-0.6415,0.0,0.6415
time_at_location_1_s14:C(sex)[Male]:C(age_binary)[old],-0.6405,0.049,0.6405
loc_entropy_m14:C(sex)[Female]:C(age_binary)[old],-0.6324,0.001,0.6324
loc_entropy_s7:C(sex)[Female]:C(age_binary)[old],-0.6226,0.001,0.6226
time_at_location_4_s14:C(sex)[Female]:C(age_binary)[old],-0.613,0.007,0.613
time_at_location_2_m7:C(sex)[Female]:C(age_binary)[old],-0.6104,0.001,0.6104
time_at_location_4_m14:C(sex)[Female]:C(age_binary)[old],-0.6051,0.011,0.6051
time_at_location_3_m7:C(sex)[Female]:C(age_binary)[old],-0.6019,0.004,0.6019
time_at_location_5_m7:C(sex)[Female]:C(age_binary)[old],-0.5949,0.015,0.5949
time_at_location_3_m14:C(sex)[Female]:C(age_binary)[old],-0.5917,0.007,0.5917
loc_entropy_m7:C(sex)[Female]:C(age_binary)[old],-0.591,0.002,0.591
time_at_location_5_m14:C(sex)[Female]:C(age_binary)[old],-0.5718,0.026,0.5718
loc_entropy_s14:C(sex)[Male]:C(age_binary)[young],-0.5613,0.046,0.5613
time_at_location_5_s7:C(sex)[Female]:C(age_binary)[old],-0.511,0.025,0.511
time_at_home_m14:C(sex)[Female]:C(age_binary)[old],0.5099,0.001,0.5099
time_at_home_m14:C(sex)[Male]:C(age_binary)[young],0.4858,0.022,0.4858
time_at_home_s7:C(sex)[Female]:C(age_binary)[old],-0.4851,0.004,0.4851
time_at_location_5_s14:C(sex)[Female]:C(age_binary)[old],-0.4823,0.049,0.4823
time_at_location_1_m14:C(sex)[Male]:C(age_binary)[old],-0.4648,0.015,0.4648
time_at_location_1_m7:C(sex)[Female]:C(age_binary)[young],0.4608,0.001,0.4608
loc_entropy_s14:C(sex)[Female]:C(age_binary)[old],-0.4471,0.013,0.4471
total_location_duration_m7:C(sex)[Female]:C(age_binary)[young],0.4468,0.0,0.4468
total_location_duration_m14:C(sex)[Female]:C(age_binary)[young],0.4122,0.001,0.4122
time_at_home_m7:C(sex)[Female]:C(age_binary)[old],0.4005,0.005,0.4005
total_location_duration_s14:C(sex)[Female]:C(age_binary)[old],-0.3982,0.031,0.3982
total_location_duration_s7:C(sex)[Female]:C(age_binary)[old],-0.3939,0.041,0.3939
time_at_home_s14:C(sex)[Female]:C(age_binary)[young],-0.3835,0.012,0.3835
time_at_location_1_m7:C(sex)[Male]:C(age_binary)[old],-0.3759,0.045,0.3759
time_at_location_1_m14:C(sex)[Female]:C(age_binary)[young],0.375,0.007,0.375
travel_diameter_m14:C(sex)[Male]:C(age_binary)[young],-0.3696,0.025,0.3696
time_at_location_3_m14:C(sex)[Female]:C(age_binary)[young],-0.3442,0.036,0.3442
time_at_location_3_m7:C(sex)[Female]:C(age_binary)[young],-0.3428,0.028,0.3428
ec_Location_m14:C(sex)[Female]:C(age_binary)[young],0.3168,0.041,0.3168
time_at_location_2_m14:C(sex)[Female]:C(age_binary)[young],-0.3132,0.046,0.3132
loc_entropy_s7:C(sex)[Female]:C(age_binary)[young],-0.3064,0.034,0.3064
